stationKey,stationKey2,name,lat,lng,radiusMeters,email,STD
11001210,11001210,ทวีคูณไทยปิโตรเลียม,15.33809332,103.2801982,300,,
11001240,11001240,หจก.เอ็ม.พี.พีพาวเวอร์ออยล์,13.54543072,102.1584626,300,,
11001241,11001241,บจก.สยามยิ่งเจริญแก๊ส,14.23391895,99.06281978,300,,
11001242,11001242,ห้างหุ้นส่วนจำกัด๙กิจปิโตรเลียม,16.611319,100.448616,300,,
11001252,11001252,ห้างหุ้นส่วนจำกัดทรัพย์หวองเจริญพานิช,14.377929,99.51783,300,,
11001257,11001257,หจก.เจริญรุ่งเรืองออยล์,14.275036,100.892154,300,,
11001265,11001265,ห้างหุ้นส่วนจำกัดติรคุณบูรณะ,13.72134914,99.78786949,300,,
11001282,11001282,บริษัทกฤษณะปิโตรเลียมจำกัด,12.865937,100.969471,300,,
11001304,11001304,ห้างหุ้นส่วนจำกัดบุญเลิศพาณิชย์,15.32959,105.479862,300,,
11001340,11001340,ห้างหุ้นส่วนจำกัดเรืองภัทร,14.517267,105.242736,300,,
11001342,11001342,บจก.ใจผ่องใสปิโตรเลียมแอนด์เซอร์วิส,14.806221,99.713617,300,,
11001366,11001366,หจก.เทพพิทักษ์แม่ลา,19.242675,97.97156,300,,
11001467,11001467,ห้างหุ้นส่วนจำกัดเค.อาร์.ออยล์,10.121401,98.898585,300,,
11001490,11001490,บริษัทซี.เค.วาย.ปิโตรเลียม,13.53891,99.80685,300,,
11001491,11001491,ห้างหุ้นส่วนจำกัดปิยะพัทธ์,15.853935,104.788122,300,,
11001493,11001493,หจก.กันต์ภรณ์,14.196443,101.221345,300,,
11001558,11001558,หจก.สุขสุนทร2018,16.738604,102.829104,300,,
11001662,11001662,บริษัทธัชชญา2018จำกัด,16.97942,102.290972,300,,
11001665,11001665,ห้างหุ้นส่วนจำกัดอุไรวรรณโพธิ์ตาก,17.835815,102.419011,300,,
11001676,11001676,ห้างหุ้นส่วนจำกัดธีระพงษ์ยิ่งเจริญ,15.756333,104.469928,300,,
11001686,11001686,บริษัทพราวด์เอ็นเนอร์ยี่จำกัด,13.787554,100.426099,300,,
11001731,11001731,ห้างหุ้นส่วนจำกัดบุญเสริมปิโตรเลียม,14.610698,104.645734,300,,
11001733,11001733,บริษัทสตาร์ปิโตรเลียมพลัสจำกัด(เจ้าปลุก),14.577683,100.525185,300,,
11001738,11001738,บริษัทสตาร์ปิโตรเลียมพลัสจำกัดสาขา5ตาก,16.946798,99.125116,300,,
11001739,11001739,บริษัทสตาร์ปิโตรเลียมพลัสจำกัดสาขา4สนามบินตาก,16.937216,99.123084,300,,
11001748,11001748,บริษัทสตาร์ปิโตรเลียมพลัสจำกัด(เขาจีนแล),14.803286,100.75459,300,,
11001798,11001798,ห้างหุ้นส่วนจำกัดจีแอนด์จีอู่ทอง,14.257223,99.906296,300,,
11001804,11001804,ห้างหุ้นส่วนจำกัดเดื่อศรีวิชัยค้า,17.496437,103.731023,300,,
11001820,11001820,บริษัทชนิตา35จำกัด,12.953357,100.993291,300,,
11001835,11001835,นางสาวอัจฉราภรณ์สุวรรณรมย์,15.900722,105.283862,300,,
11001839,11001839,หจก.สาธิตเซอร์วิส2545,13.21469,102.174985,300,,
11001851,11001851,ห้างหุ้นส่วนจำกัดตันติกรเจริญปิโตร,18.139494,99.472253,300,,
11001869,11001869,ห้างหุ้นส่วนจำกัดอิทธิพัทธ์น้ำมัน,7.062447,100.178362,300,,
11001871,11001871,หจก.ธัญชนกเพิ่มทรัพย์ออยล์,18.117686,98.888942,300,,
11001874,11001874,ห้างหุ้นส่วนจำกัดสุริวงษ์ออยล์,13.613153,100.097793,300,,
11001881,11001881,ห้างหุ้นส่วนจำกัดเอ็นทีแคปปิตอลกรุ๊ป,13.039478,102.382009,300,,
11001897,11001897,ห้างหุ้นส่วนจำกัดสำรวจแร่,15.778097,100.606645,300,,
11001904,11001904,ห้างหุ้นส่วนจำกัดวายเอ็มวายออยล,14.832831,104.678832,300,,
11001908,11001908,ห้างหุ้นส่วนจำกัดกิจสหชัยชาญ,16.481056,100.484172,300,,
11001921,11001921,ห้างหุ้นส่วนจำกัดเอ็มเอ็มปิโตรเลียม,17.107666,104.604707,300,,
11001923,11001923,บริษัทเอ็นโอเคเพ้นท์แอนด์,17.37045,104.09418,300,,
11001945,11001945,ห้างหุ้นส่วนจำกัดพรมเกตุปิโตรเลียม,15.960053,104.038474,300,,
11001947,11001947,ห้างหุ้นส่วนจำกัดเอ.พี.ปิโตรเลียม,14.615561,100.729987,300,,
11002001,11002001,หจก.ปัณณกันต์เซอร์วิส,14.921465,100.368983,300,,
11002053,11002053,สหกรณ์การเกษตรวังชิ้นสาขาป่าสัก,17.901323,99.60378,300,,
11002054,11002054,สหกรณ์การเกษตรวังชิ้นจำกัด,17.905896,99.602665,300,,
11002055,11002055,ห้างหุ้นส่วนจำกัดแสงประทีปออยล์,14.904957,100.193129,300,,
11002056,11002056,หจก.ศิริอนงค์ก่อสร้าง,17.566707,102.289787,300,,
11002067,11002067,บริษัทหนองบอนแดงปิโตรเลียมจำกัด,13.345381,101.151934,300,,
11002083,11002083,ห้างหุ้นส่วนจำกัดอรทัยโพธิ์ไทร,15.814727,105.244805,300,,
11002084,11002084,ห้างหุ้นส่วนจำกัดช.ปิโตรเลียมพิษณุโลก,16.755724,100.200885,300,,
11002085,11002085,บริษัท สุขสมบูรณ์น้ำมันพืช จำกัด,13.157992,101.332729,300,,
11002093,11002093,ห้างหุ้นส่วนจำกัดเกิดมารุ่งเรือง,15.112718,100.519604,300,,
11002096,11002096,บริษัทดีเดย์ปิโตรเลียมจำกัด,18.917878,98.944026,300,,
11002097,11002097,ห้างหุ้นส่วนจำกัดประสิทธิ์ศรีสุข,15.160411,103.381718,300,,
11002107,11002107,บริษัททองเจริญกิจปิโตรเลียมจำกัด,17.343663,102.382409,300,,
11002115,11002115,ห้างหุ้นส่วนจำกัดบุญชูออยล์,13.667826,100.192624,300,,
11002119,11002119,หจก.ป.ประเสริฐออยล์,15.343024,103.533749,300,,
11002129,11002129,ห้างหุ้นส่วนจำกัดเอ็นอาร์กรุ๊ป10,16.296775,103.921926,300,,
11002133,11002133,บริษัท99พี.เจ.เอสนครนายกแก๊สจำกัด,14.179181,101.242027,300,,
11002145,11002145,ห้างหุ้นส่วนจำกัดเพิ่มทรัพย์ออยล์,7.792691,99.959955,300,,
11002160,11002160,ห้างหุ้นส่วนจำกัดสตางค์ฟาร์ม,13.828024,101.974926,300,,
11002163,11002163,ห้างหุ้นส่วนจำกัดฐปนวัฒน์ปิโตรเลียม,17.191212,104.7829019,300,,
11002185,11002185,หจก.พอร์เตอร์ปิโตรเลียม,15.049432,105.278333,300,,
11002186,11002186,ห้างหุ้นส่วนจำกัดเอสเจพีปิโตรเลียม,13.945263,99.294915,300,,
11002188,11002188,ห้างหุ้นส่วนจำกัดบุญช่วยปิโตรเลียม,17.870861,99.062904,300,,
11002189,11002189,ห้างหุ้นส่วนจำกัดพีทีเคปิโตรเลียม,14.706794,103.85761,300,,
11002194,11002194,ห้างหุ้นส่วนจำกัดรุ่งเรืองปิโตรเลียม,14.761078,104.198458,300,,
11002214,11002214,ห้างหุ้นส่วนจำกัดส.เจริญสุขปิโตรเลียม,16.500389,100.500194,300,,
